claim_id,paper_key,env,kind,opt_title,label,section,subsection,subsubsection,statement_preview,statement_sha256,tex_file,line_start,line_end
GLC1:remark:auto0001@L1081,GLC1,rem,remark,,,Introduction,,,"In fact, in \cite[Sect. 21.4]{AGKRRV} the equivalence $$\text{Full GLC}\, \Leftrightarrow\, \text{Restricted GLC}$$ was proved directly, but under the assumption that the functor $\BL_G$ admits a left adjoint. \medskip The advantage of working with the tempered category is that t…",ce9ca41f0b4c804cdecefc38bcc4f417eab67fe3a38b45d6408ef6268ae8d9f7,gaits1.tex,1081,1091
GLC1:theorem:t:cc-intro,GLC1,thm,theorem,,t:cc-intro,Introduction,,,"\label{t:cc-intro} Suppose that $G$ has connected center, the genus of $X$ is $\geq 2$, and assume the geometric Langlands conjecture. Let $\sigma$ be an irreducible $\cG$-local system and let $\CF_{\sigma}$ be the corresponding Hecke eigensheaf. Then the characteristic cycle $\o…",46d2eda6de8fa62069628598afd85d0a37fd92d4e9ae5fc6c12353a760e23d41,gaits1.tex,1098,1107
GLC1:remark:auto0003@L1414,GLC1,rem,remark,,,Construction of the Langlands functor (de Rham context),,,"It is crucial, however, to consider the twisted version, when we study the Hecke functors. Otherwise, instead of the usual category $\Rep(\cG)$ one has to consider its twist by a certain canonical $Z_\cG$-gerbe, see \cite[Sect. 6.3]{GLys}.",081534a326288fa8ca568b0bb80ee476e190ab6daabca983217d4d0fc453c717,gaits1.tex,1414,1418
GLC1:theorem:t:spectral decomp,GLC1,thm,theorem,,t:spectral decomp,Construction of the Langlands functor (de Rham context),,,\label{t:spectral decomp} The action of $\Rep(\cG)_\Ran$ on $\Dmod_{\frac{1}{2}}(\Bun_G)$ factors via the functor \eqref{e:spec Loc}.,8da4f3a820f63132c64a57b10b586352b6848c90e33500259fe43cd81ed6ec83,gaits1.tex,1459,1462
GLC1:proposition:p:det to BunN,GLC1,prop,proposition,,p:det to BunN,Construction of the Langlands functor (de Rham context),,,"\label{p:det to BunN} The line $\fl_{G,N_{\CP_T}}$ admits a canonical square root.",1bffc992ebeba28aaa5f79af96e6d1f7d9569d38314bcac27bd55a925af813f6,gaits1.tex,1514,1517
GLC1:corollary:c:det to BunN rho,GLC1,cor,corollary,,c:det to BunN rho,Construction of the Langlands functor (de Rham context),,,"\label{c:det to BunN rho} The line $\fl_{G,N_{\rho(\omega_X)}}$ admits a canonical square root.",227089969c2e7703143684e20452a8f339d52fad1e10606b54f6027494a3ffff,gaits1.tex,1605,1608
GLC1:remark:auto0007@L1703,GLC1,rem,remark,,,Construction of the Langlands functor (de Rham context),,,"The notation $\BL^L_{G,\on{temp}}$ has to do with the fact that the essential image of this functor lands in the subcategory $$\Dmod_{\frac{1}{2}}(\Bun_G)_{\on{temp}}\subset \Dmod_{\frac{1}{2}}(\Bun_G),$$ see \secref{sss:LL temp}.",528a0577e8b5b7babc2ce2029a16a63d729f12e2844073b4df97f3d8e873658a,gaits1.tex,1703,1708
GLC1:remark:auto0008@L1710,GLC1,rem,remark,,,Construction of the Langlands functor (de Rham context),,,"Once GLC (\conjref{c:GLC dR}) is proved, it would follow that the functor $\BL^L_{G,\on{temp}}$ is actually an equivalence $$\QCoh(\LS_\cG)\overset{\sim}\to \Dmod_{\frac{1}{2}}(\Bun_G)_{\on{temp}},$$ see Remark \ref{r:L temp}.",bc3772afde409033c6d4cf8f461fe81d5386f56849405bdb431a42c995669fff,gaits1.tex,1710,1717
GLC1:theorem:t:compact to bdd below dr,GLC1,thm,theorem,,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),,,"\label{t:compact to bdd below dr} The functor $$\BL_{G,\on{coarse}}:\Dmod_{\frac{1}{2}}(\Bun_G)\to \QCoh(\LS_\cG)$$ sends compact objects in $\Dmod_{\frac{1}{2}}(\Bun_G)$ to bounded below (i.e., eventually coconnective) objects in $\QCoh(\LS_\cG)$.",016bc6f3bcf754e314fb83978b3d1f06d36c472dd6067a89de62c5a12b4fc89b,gaits1.tex,1808,1813
GLC1:corollary:c:main dr,GLC1,cor,corollary,,c:main dr,Construction of the Langlands functor (de Rham context),,,"\label{c:main dr} There exists a (colimit-preserving) functor $$\BL_G:\Dmod_{\frac{1}{2}}(\Bun_G)\to \IndCoh_\Nilp(\LS_\cG),$$ uniquely characterized by the following properties: \begin{itemize} \item The functor $\BL_G$ sends compact objects in $\Dmod_{\frac{1}{2}}(\Bun_G)$ to e…",557f1f3b5a4347bcd4e6ddc001f1d2b955c77eafdad0c938ec4e81e96b612c4e,gaits1.tex,1833,1850
GLC1:conjecture:c:GLC dR,GLC1,conj,conjecture,,c:GLC dR,Construction of the Langlands functor (de Rham context),,,\label{c:GLC dR} The functor $\BL_G$ is an equivalence.,60ee4a626e2ca86887cfa153919c02c60e67819eeeae7963739b3c55d21e9793,gaits1.tex,1861,1863
GLC1:remark:auto0012@L1865,GLC1,rem,remark,,,Construction of the Langlands functor (de Rham context),,,"By the same logic as in \corref{c:main dr}, using \thmref{t:compact to bdd below dr}, we can lift $\BL_{G,\on{coarse}}$ to a functor $$\BL'_G:\Dmod_{\frac{1}{2}}(\Bun_G)\to \IndCoh(\LS_\cG),$$ so that $$\Psi_{\on{all},\Nilp}\circ \BL'_G\simeq \BL_G,$$ where $\Psi_{\on{all},\Nilp}…",e1043f4444b52551dc0a83768a5906ddefdf6d4263f1acfa718995a9eafd0fe1,gaits1.tex,1865,1881
GLC1:remark:auto0013@L1883,GLC1,rem,remark,,,Construction of the Langlands functor (de Rham context),,,"That said, as was suggested by D.~Arinkin, one can consider a \emph{renormalized} version\footnote{The compact generators of the renormalization are !-extension of \emph{locally compact} objects on q.c. open substacks of $\Bun_G$.} $\Dmod_{\frac{1}{2}}(\Bun_G)_{\on{ren}}$ of $\Dm…",b1ee821b3b53d76c37bafbe1c3683e57722e4b5167c09949cc812be2138ab061,gaits1.tex,1883,1916
GLC1:proposition:p:L and Hecke,GLC1,prop,proposition,,p:L and Hecke,Construction of the Langlands functor (de Rham context),,,"\label{p:L and Hecke} The functor $\BL_G$ carries a uniquely defined $\QCoh(\LS_\cG)$-linear structure, so that the induced $\QCoh(\LS_\cG)$-linear structure on $$\Psi_{\Nilp,\{0\}}\circ \BL_G\simeq \BL_{G,\on{coarse}}$$ is the natural $\QCoh(\LS_\cG)$-linear structure on $\BL_{G…",294c8bbe72a95cd5f1ae0dcf4f9a698ffb92ecc824db17c0b16fea9a3d042889,gaits1.tex,1939,1944
GLC1:proposition:p:bdd right,GLC1,prop,proposition,,p:bdd right,Construction of the Langlands functor (de Rham context),,,"\label{p:bdd right} The functor $\BL_{G,\on{coarse}}$ has a bounded cohomological amplitude on the right, i.e., there exists an integer $d$ so that $\BL_{G,\on{coarse}}[d]$ is right t-exact.",986a729a1edd3e98ebebf5474f33633c00f795d97cfbaf26e17395e318ce74b0,gaits1.tex,1987,1990
GLC1:corollary:c:bdd right,GLC1,cor,corollary,,c:bdd right,Construction of the Langlands functor (de Rham context),,,\label{c:bdd right} The functor $\BL_G$ has a bounded cohomological amplitude on the right.,49285495b4328756f6090a010e23dcf146a8102e2cb9339c77ba051297577974,gaits1.tex,1997,1999
GLC1:proposition:p:compact bdd below,GLC1,prop,proposition,,p:compact bdd below,Proof of \thmref{t:compact to bdd below dr},,,"\label{p:compact bdd below} Compact objects of $\Dmod_{\frac{1}{2}}(\Bun_G)$ are bounded below (i.e., are eventually coconnective).",b0113a664e38334e6417675070ac5a3e84d5cfed58c2d6f451d0b977fa08a3e6,gaits1.tex,2016,2018
GLC1:theorem:t:L coarse left exact,GLC1,thm,theorem,,t:L coarse left exact,Proof of \thmref{t:compact to bdd below dr},,,"\label{t:L coarse left exact} The functor $\BL_{G,\on{coarse}}$ has a bounded cohomological amplitude on the left, i.e., there exists an integer $d$ so that $\BL_{G,\on{coarse}}[-d]$ is left t-exact.",5a0891d112b51067d285eed7508b8fbe45d3f31439ec78fb3ecba5d427f6c58a,gaits1.tex,2020,2023
