src_claim_id,dst_claim_id,src_paper,src_kind,src_label,src_section,src_line_start,src_line_end,dst_paper,dst_kind,dst_label,dst_section,dst_line_start,dst_line_end
GLC1:theorem:t:cc-intro,GLC1:corollary:c:bdd right,GLC1,theorem,t:cc-intro,Introduction,1098,1107,GLC1,corollary,c:bdd right,Construction of the Langlands functor (de Rham context),1997,1999
GLC1:theorem:t:cc-intro,GLC1:proposition:p:bdd right,GLC1,theorem,t:cc-intro,Introduction,1098,1107,GLC1,proposition,p:bdd right,Construction of the Langlands functor (de Rham context),1987,1990
GLC1:theorem:t:cc-intro,GLC1:proposition:p:when >0,GLC1,theorem,t:cc-intro,Introduction,1098,1107,GLC1,proposition,p:when >0,Proof of \thmref{t:compact to bdd below dr},2218,2243
GLC1:theorem:t:cc-intro,GLC1:theorem:t:L coarse left exact,GLC1,theorem,t:cc-intro,Introduction,1098,1107,GLC1,theorem,t:L coarse left exact,Proof of \thmref{t:compact to bdd below dr},2020,2023
GLC1:theorem:t:cc-intro,GLC1:theorem:t:compact to bdd below Betti,GLC1,theorem,t:cc-intro,Introduction,1098,1107,GLC1,theorem,t:compact to bdd below Betti,Geometric Langlands functor in the Betti context,2801,2806
GLC1:theorem:t:cc-intro,GLC1:theorem:t:compact to bdd below dr,GLC1,theorem,t:cc-intro,Introduction,1098,1107,GLC1,theorem,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),1808,1813
GLC1:theorem:t:cc-intro,GLC1:theorem:t:dR => Betti bis,GLC1,theorem,t:cc-intro,Introduction,1098,1107,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928
GLC1:remark:auto0008@L1710,GLC1:conjecture:c:GLC dR,GLC1,remark,,Construction of the Langlands functor (de Rham context),1710,1717,GLC1,conjecture,c:GLC dR,Construction of the Langlands functor (de Rham context),1861,1863
GLC1:remark:auto0008@L1710,GLC1:remark:r:L temp,GLC1,remark,,Construction of the Langlands functor (de Rham context),1710,1717,GLC1,remark,r:L temp,Restricted vs full GLC,3478,3497
GLC1:remark:auto0008@L1710,GLC1:theorem:t:compact to bdd below dr,GLC1,remark,,Construction of the Langlands functor (de Rham context),1710,1717,GLC1,theorem,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),1808,1813
GLC1:remark:auto0012@L1865,GLC1:corollary:c:main dr,GLC1,remark,,Construction of the Langlands functor (de Rham context),1865,1881,GLC1,corollary,c:main dr,Construction of the Langlands functor (de Rham context),1833,1850
GLC1:remark:auto0012@L1865,GLC1:lemma:l:Eis,GLC1,remark,,Construction of the Langlands functor (de Rham context),1865,1881,GLC1,lemma,l:Eis,Restricted vs full GLC,3798,3809
GLC1:remark:auto0012@L1865,GLC1:theorem:t:compact to bdd below dr,GLC1,remark,,Construction of the Langlands functor (de Rham context),1865,1881,GLC1,theorem,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),1808,1813
GLC1:remark:auto0013@L1883,GLC1:corollary:c:main dr,GLC1,remark,,Construction of the Langlands functor (de Rham context),1883,1916,GLC1,corollary,c:main dr,Construction of the Langlands functor (de Rham context),1833,1850
GLC1:remark:auto0013@L1883,GLC1:theorem:t:compact to bdd below dr,GLC1,remark,,Construction of the Langlands functor (de Rham context),1883,1916,GLC1,theorem,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),1808,1813
